time_id,location_id,energy_id,scope_id,usage_amount,co2_emissions_t,benchmark_value_t,target_value_t,data_quality,category_name,calculation_method
202302,LOC003,ENG002,SC001,8500,18.9,21.5,18.8,実測,都市ガス使用,実測値
202302,LOC003,NULL,SC003,NULL,312.5,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202302,LOC003,NULL,SC005,NULL,45.8,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202302,LOC004,ENG001,SC002,25500,11.8,13.8,11.9,実測,電力使用,実測値
202302,LOC005,ENG001,SC002,8800,4.1,4.6,3.9,実測,電力使用,実測値
202303,LOC001,ENG001,SC002,47000,21.7,24.3,21.8,実測,電力使用,実測値
202303,LOC002,ENG001,SC002,175000,80.9,87.8,78.5,実測,電力使用,実測値
202303,LOC002,ENG002,SC001,11600,25.9,28.5,25.1,実測,都市ガス使用,実測値
202303,LOC002,ENG003,SC001,8000,21.7,23.8,20.9,実測,重油A使用,実測値
202303,LOC002,ENG006,SC001,0.105,2.4,2.8,2.3,実測,SF6ガス使用,実測値
202303,LOC002,NULL,SC003,NULL,472.8,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202303,LOC002,NULL,SC004,NULL,81.5,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202303,LOC002,NULL,SC005,NULL,66.2,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202303,LOC002,NULL,SC006,NULL,36.8,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202303,LOC002,NULL,SC007,NULL,16.8,22.0,15.0,推定,出張,交通費×排出原単位
202303,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202303,LOC003,ENG001,SC002,132000,60.9,68.5,59.8,実測,電力使用,実測値
202303,LOC003,ENG002,SC001,8700,19.4,21.5,18.8,実測,都市ガス使用,実測値
202303,LOC003,NULL,SC003,NULL,318.9,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202303,LOC003,NULL,SC005,NULL,47.2,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202303,LOC004,ENG001,SC002,26200,12.1,13.8,11.9,実測,電力使用,実測値
202303,LOC005,ENG001,SC002,9000,4.2,4.6,3.9,実測,電力使用,実測値
202304,LOC001,ENG001,SC002,44500,20.6,24.3,21.8,実測,電力使用,実測値
202304,LOC002,ENG001,SC002,168000,77.6,87.8,78.5,実測,電力使用,実測値
202304,LOC002,ENG002,SC001,10800,24.1,28.5,25.1,実測,都市ガス使用,実測値
202304,LOC002,ENG003,SC001,7300,19.8,23.8,20.9,実測,重油A使用,実測値
202304,LOC002,ENG006,SC001,0.09,2.1,2.8,2.3,実測,SF6ガス使用,実測値
202304,LOC002,NULL,SC003,NULL,445.2,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202304,LOC002,NULL,SC004,NULL,89.5,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202304,LOC002,NULL,SC005,NULL,62.1,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202304,LOC002,NULL,SC006,NULL,34.2,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202304,LOC002,NULL,SC007,NULL,19.8,22.0,15.0,推定,出張,交通費×排出原単位
202304,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202304,LOC003,ENG001,SC002,125000,57.8,68.5,59.8,実測,電力使用,実測値
202304,LOC003,ENG002,SC001,8100,18.1,21.5,18.8,実測,都市ガス使用,実測値
202304,LOC003,NULL,SC003,NULL,298.5,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202304,LOC003,NULL,SC005,NULL,43.8,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202304,LOC004,ENG001,SC002,24800,11.5,13.8,11.9,実測,電力使用,実測値
202304,LOC005,ENG001,SC002,8200,3.8,4.6,3.9,実測,電力使用,実測値
202305,LOC001,ENG001,SC002,42800,19.8,24.3,21.8,実測,電力使用,実測値
202305,LOC002,ENG001,SC002,162000,74.9,87.8,78.5,実測,電力使用,実測値
202305,LOC002,ENG002,SC001,10200,22.7,28.5,25.1,実測,都市ガス使用,実測値
202305,LOC002,ENG003,SC001,6800,18.4,23.8,20.9,実測,重油A使用,実測値
202305,LOC002,ENG006,SC001,0.08,1.8,2.8,2.3,実測,SF6ガス使用,実測値
202305,LOC002,NULL,SC003,NULL,428.9,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202305,LOC002,NULL,SC004,NULL,76.8,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202305,LOC002,NULL,SC005,NULL,59.5,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202305,LOC002,NULL,SC006,NULL,32.8,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202305,LOC002,NULL,SC007,NULL,21.5,22.0,15.0,推定,出張,交通費×排出原単位
202305,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202305,LOC003,ENG001,SC002,119000,55.0,68.5,59.8,実測,電力使用,実測値
202305,LOC003,ENG002,SC001,7600,16.9,21.5,18.8,実測,都市ガス使用,実測値
202305,LOC003,NULL,SC003,NULL,285.2,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202305,LOC003,NULL,SC005,NULL,41.2,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202305,LOC004,ENG001,SC002,23500,10.9,13.8,11.9,実測,電力使用,実測値
202305,LOC005,ENG001,SC002,7800,3.6,4.6,3.9,実測,電力使用,実測値
202306,LOC001,ENG001,SC002,41200,19.0,24.3,21.8,実測,電力使用,実測値
202306,LOC002,ENG001,SC002,156000,72.1,87.8,78.5,実測,電力使用,実測値
202306,LOC002,ENG002,SC001,9800,21.9,28.5,25.1,実測,都市ガス使用,実測値
202306,LOC002,ENG003,SC001,6500,17.6,23.8,20.9,実測,重油A使用,実測値
202306,LOC002,ENG006,SC001,0.07,1.6,2.8,2.3,実測,SF6ガス使用,実測値
202306,LOC002,NULL,SC003,NULL,412.8,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202306,LOC002,NULL,SC004,NULL,82.1,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202306,LOC002,NULL,SC005,NULL,57.8,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202306,LOC002,NULL,SC006,NULL,31.5,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202306,LOC002,NULL,SC007,NULL,18.9,22.0,15.0,推定,出張,交通費×排出原単位
202306,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202306,LOC003,ENG001,SC002,114000,52.7,68.5,59.8,実測,電力使用,実測値
202306,LOC003,ENG002,SC001,7200,16.1,21.5,18.8,実測,都市ガス使用,実測値
202306,LOC003,NULL,SC003,NULL,272.8,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202306,LOC003,NULL,SC005,NULL,39.2,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202306,LOC004,ENG001,SC002,22800,10.5,13.8,11.9,実測,電力使用,実測値
202306,LOC005,ENG001,SC002,7500,3.5,4.6,3.9,実測,電力使用,実測値
202307,LOC001,ENG001,SC002,46800,21.6,24.3,21.8,実測,電力使用,実測値
202307,LOC002,ENG001,SC002,182000,84.1,87.8,78.5,実測,電力使用,実測値
202307,LOC002,ENG002,SC001,11200,25.0,28.5,25.1,実測,都市ガス使用,実測値
202307,LOC002,ENG003,SC001,7900,21.4,23.8,20.9,実測,重油A使用,実測値
202307,LOC002,ENG006,SC001,0.12,2.7,2.8,2.3,実測,SF6ガス使用,実測値
202307,LOC002,NULL,SC003,NULL,495.8,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202307,LOC002,NULL,SC004,NULL,88.9,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202307,LOC002,NULL,SC005,NULL,71.2,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202307,LOC002,NULL,SC006,NULL,41.8,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202307,LOC002,NULL,SC007,NULL,24.5,22.0,15.0,推定,出張,交通費×排出原単位
202307,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202307,LOC003,ENG001,SC002,138000,63.8,68.5,59.8,実測,電力使用,実測値
202307,LOC003,ENG002,SC001,8900,19.9,21.5,18.8,実測,都市ガス使用,実測値
202307,LOC003,NULL,SC003,NULL,342.8,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202307,LOC003,NULL,SC005,NULL,51.2,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202307,LOC004,ENG001,SC002,28200,13.0,13.8,11.9,実測,電力使用,実測値
202307,LOC005,ENG001,SC002,9800,4.5,4.6,3.9,実測,電力使用,実測値
202308,LOC001,ENG001,SC002,49200,22.7,24.3,21.8,実測,電力使用,実測値
202308,LOC002,ENG001,SC002,188000,86.9,87.8,78.5,実測,電力使用,実測値
202308,LOC002,ENG002,SC001,11800,26.3,28.5,25.1,実測,都市ガス使用,実測値
202308,LOC002,ENG003,SC001,8200,22.2,23.8,20.9,実測,重油A使用,実測値
202308,LOC002,ENG006,SC001,0.13,3.0,2.8,2.3,実測,SF6ガス使用,実測値
202308,LOC002,NULL,SC003,NULL,518.5,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202308,LOC002,NULL,SC004,NULL,81.2,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202308,LOC002,NULL,SC005,NULL,70.8,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202308,LOC002,NULL,SC006,NULL,41.5,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202308,LOC002,NULL,SC007,NULL,21.8,22.0,15.0,推定,出張,交通費×排出原単位
202308,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202308,LOC003,ENG001,SC002,142000,65.6,68.5,59.8,実測,電力使用,実測値
202308,LOC003,ENG002,SC001,9200,20.5,21.5,18.8,実測,都市ガス使用,実測値
202308,LOC003,NULL,SC003,NULL,348.9,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202308,LOC003,NULL,SC005,NULL,50.8,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202308,LOC004,ENG001,SC002,29500,13.6,13.8,11.9,実測,電力使用,実測値
202308,LOC005,ENG001,SC002,10200,4.7,4.6,3.9,実測,電力使用,実測値
202309,LOC001,ENG001,SC002,46500,21.5,24.3,21.8,実測,電力使用,実測値
202309,LOC002,ENG001,SC002,175000,80.9,87.8,78.5,実測,電力使用,実測値
202309,LOC002,ENG002,SC001,10900,24.3,28.5,25.1,実測,都市ガス使用,実測値
202309,LOC002,ENG003,SC001,7600,20.6,23.8,20.9,実測,重油A使用,実測値
202309,LOC002,ENG006,SC001,0.10,2.3,2.8,2.3,実測,SF6ガス使用,実測値
202309,LOC002,NULL,SC003,NULL,465.8,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202309,LOC002,NULL,SC004,NULL,79.5,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202309,LOC002,NULL,SC005,NULL,63.2,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202309,LOC002,NULL,SC006,NULL,37.8,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202309,LOC002,NULL,SC007,NULL,19.2,22.0,15.0,推定,出張,交通費×排出原単位
202309,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202309,LOC003,ENG001,SC002,130000,60.1,68.5,59.8,実測,電力使用,実測値
202309,LOC003,ENG002,SC001,8400,18.7,21.5,18.8,実測,都市ガス使用,実測値
202309,LOC003,NULL,SC003,NULL,315.8,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202309,LOC003,NULL,SC005,NULL,44.2,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202309,LOC004,ENG001,SC002,26800,12.4,13.8,11.9,実測,電力使用,実測値
202309,LOC005,ENG001,SC002,9100,4.2,4.6,3.9,実測,電力使用,実測値
202310,LOC001,ENG001,SC002,44200,20.4,24.3,21.8,実測,電力使用,実測値
202310,LOC002,ENG001,SC002,165000,76.3,87.8,78.5,実測,電力使用,実測値
202310,LOC002,ENG002,SC001,10500,23.4,28.5,25.1,実測,都市ガス使用,実測値
202310,LOC002,ENG003,SC001,7200,19.5,23.8,20.9,実測,重油A使用,実測値
202310,LOC002,ENG006,SC001,0.09,2.1,2.8,2.3,実測,SF6ガス使用,実測値
202310,LOC002,NULL,SC003,NULL,442.8,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202310,LOC002,NULL,SC004,NULL,75.8,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202310,LOC002,NULL,SC005,NULL,59.8,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202310,LOC002,NULL,SC006,NULL,35.2,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202310,LOC002,NULL,SC007,NULL,17.8,22.0,15.0,推定,出張,交通費×排出原単位
202310,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202310,LOC003,ENG001,SC002,122000,56.4,68.5,59.8,実測,電力使用,実測値
202310,LOC003,ENG002,SC001,7800,17.4,21.5,18.8,実測,都市ガス使用,実測値
202310,LOC003,NULL,SC003,NULL,288.9,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202310,LOC003,NULL,SC005,NULL,40.8,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202310,LOC004,ENG001,SC002,24500,11.3,13.8,11.9,実測,電力使用,実測値
202310,LOC005,ENG001,SC002,8400,3.9,4.6,3.9,実測,電力使用,実測値
202311,LOC001,ENG001,SC002,46800,21.6,24.3,21.8,実測,電力使用,実測値
202311,LOC002,ENG001,SC002,178000,82.2,87.8,78.5,実測,電力使用,実測値
202311,LOC002,ENG002,SC001,11600,25.9,28.5,25.1,実測,都市ガス使用,実測値
202311,LOC002,ENG003,SC001,7800,21.1,23.8,20.9,実測,重油A使用,実測値
202311,LOC002,ENG006,SC001,0.11,2.5,2.8,2.3,実測,SF6ガス使用,実測値
202311,LOC002,NULL,SC003,NULL,478.9,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202311,LOC002,NULL,SC004,NULL,83.2,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202311,LOC002,NULL,SC005,NULL,67.8,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202311,LOC002,NULL,SC006,NULL,39.8,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202311,LOC002,NULL,SC007,NULL,20.5,22.0,15.0,推定,出張,交通費×排出原単位
202311,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202311,LOC003,ENG001,SC002,135000,62.4,68.5,59.8,実測,電力使用,実測値
202311,LOC003,ENG002,SC001,8700,19.4,21.5,18.8,実測,都市ガス使用,実測値
202311,LOC003,NULL,SC003,NULL,325.8,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202311,LOC003,NULL,SC005,NULL,48.5,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202311,LOC004,ENG001,SC002,26500,12.2,13.8,11.9,実測,電力使用,実測値
202311,LOC005,ENG001,SC002,9000,4.2,4.6,3.9,実測,電力使用,実測値
202312,LOC001,ENG001,SC002,49800,23.0,24.3,21.8,実測,電力使用,実測値
202312,LOC002,ENG001,SC002,185000,85.5,87.8,78.5,実測,電力使用,実測値
202312,LOC002,ENG002,SC001,12200,27.2,28.5,25.1,実測,都市ガス使用,実測値
202312,LOC002,ENG003,SC001,8400,22.8,23.8,20.9,実測,重油A使用,実測値
202312,LOC002,ENG006,SC001,0.12,2.7,2.8,2.3,実測,SF6ガス使用,実測値
202312,LOC002,NULL,SC003,NULL,512.8,520.0,460.0,推定,購入製品・サービス,調達金額×排出原単位
202312,LOC002,NULL,SC004,NULL,81.5,82.0,75.0,推定,資本財,固定資産取得額×排出原単位
202312,LOC002,NULL,SC005,NULL,71.5,72.0,63.0,推定,輸送・配送(上流),物流費×排出原単位
202312,LOC002,NULL,SC006,NULL,41.2,42.0,35.0,推定,廃棄物,廃棄物量×処理別排出原単位
202312,LOC002,NULL,SC007,NULL,16.5,22.0,15.0,推定,出張,交通費×排出原単位
202312,LOC002,NULL,SC008,NULL,38.5,41.0,36.0,推定,通勤,従業員数×通勤距離×排出原単位
202312,LOC003,ENG001,SC002,140000,64.7,68.5,59.8,実測,電力使用,実測値
202312,LOC003,ENG002,SC001,9100,20.3,21.5,18.8,実測,都市ガス使用,実測値
202312,LOC003,NULL,SC003,NULL,342.8,350.0,310.0,推定,購入製品・サービス,調達金額×排出原単位
202312,LOC003,NULL,SC005,NULL,50.2,52.0,44.0,推定,輸送・配送(上流),物流費×排出原単位
202312,LOC004,ENG001,SC002,28800,13.3,13.8,11.9,実測,電力使用,実測値
202312,LOC005,ENG001,SC002,9800,4.5,4.6,3.9,実測,電力使用,実測値

**2024年度通年データ**
```csv
202401,LOC001,ENG001,SC002,45000,20.4,22.1,19.5,実測,電力使用,実測値
202401,LOC002,ENG001,SC002,165000,74.7,79.8,71.2,実測,電力使用,実測値
202401,LOC002,ENG002,SC001,11000,24.5,26.2,23.0,実測,都市ガス使用,実測値
202401,LOC002,ENG003,SC001,7500,20.3,21.8,19.1,実測,重油A使用,実測値
202401,LOC002,ENG006,SC001,0.1,2.3,2.5,2.1,実測,SF6ガス使用,実測値
202401,LOC002,NULL,SC003,NULL,420.5,450.0,400.0,推定,購入製品・サービス,調達金額×排出原単位
202401,LOC002,NULL,SC004,NULL,85.2,90.0,80.0,推定,資本財,固定資産取得額×排出原単位
202401,LOC002,NULL,SC005,NULL,58.9,65.0,55.0,推定,輸送・配送(上流),物流費×排出原単位
202401,LOC002,NULL,SC006,NULL,32.1,35.0,30.0,推定,廃棄物,廃棄物量×処理別排出原単位
202401,LOC002,NULL,SC007,NULL,12.3,15.0,10.0,推定,出張,交通費×排出原単位
202401,LOC002,NULL,SC008,NULL,35.8,38.0,33.0,推定,通勤,従業員数×通勤距離×排出原単位
202401,LOC003,ENG001,SC002,125000,56.6,62.1,54.0,実測,電力使用,実測値
202401,LOC003,ENG002,SC001,8200,18.3,19.8,17.1,実測,都市ガス使用,実測値
202401,LOC003,NULL,SC003,NULL,285.0,305.0,270.0,推定,購入製品・サービス,調達金額×排出原単位
202401,LOC003,NULL,SC005,NULL,42.1,45.0,38.0,推定,輸送・配送(上流),物流費×排出原単位
202401,LOC004,ENG001,SC002,25000,11.3,12.5,10.8,実測,電力使用,実測値
202401,LOC005,ENG001,SC002,8500,3.9,4.2,3.5,実測,電力使用,実測値
202402,LOC001,ENG001,SC002,42000,19.0,22.1,19.5,実測,電力使用,実測値
202402,LOC002,ENG001,SC002,158000,71.6,79.8,71.2,実測,電力使用,実測値
202402,LOC002,ENG002,SC001,10500,23.4,26.2,23.0,実測,都市ガス使用,実測値
202402,LOC002,ENG003,SC001,7200,19.5,21.8,19.1,実測,重油A使用,実測値
202402,LOC002,ENG006,SC001,0.09,2.1,2.5,2.1,実測,SF6ガス使用,実測値
202402,LOC002,NULL,SC003,NULL,398.2,450.0,400.0,推定,購入製品・サービス,調達金額×排出原単位
202402,LOC002,NULL,SC004,NULL,92.1,90.0,80.0,推定,資本財,固定資産取得額×排出原単位
202402,LOC002,NULL,SC005,NULL,55.3,65.0,55.0,推定,輸送・配送(上流),物流費×排出原単位
202402,LOC002,NULL,SC006,NULL,29.8,35.0,30.0,推定,廃棄物,廃棄物量×処理別排出原単位
202402,LOC002,NULL,SC007,NULL,8.9,15.0,10.0,推定,出張,交通費×排出原単位
202402,LOC002,NULL,SC008,NULL,35.8,38.0,33.0,推定,通勤,従業員数×通勤距離×排出原単位
202402,LOC003,ENG001,SC002,119000,53.9,62.1,54.0,実測,電力使用,実測値
202402,LOC003,ENG002,SC001,7800,17.4,19.8,17.1,実測,都市ガス使用,実測値
202402,LOC003,NULL,SC003,NULL,272.5,305.0,270.0,推定,購入製品・サービス,調達金額×排出原単位
202402,LOC003,NULL,SC005,NULL,39.8,45.0,38.0,推定,輸送・配送(上流),物流費×排出原単位
202402,LOC004,ENG001,SC002,23500,10.6,12.5,10.8,実測,電力使用,実測値
202402,LOC005,ENG001,SC002,8100,3.7,4.2,3.5,実測,電力使用,実測値
202403,LOC001,ENG001,SC002,43500,19.7,22.1,19.5,実測,電力使用,実測値
202403,LOC002,ENG001,SC002,162000,73.4,79.8,71.2,実測,電力使用,実測値
202403,LOC002,ENG002,SC001,10800,24.1,26.2,23.0,実測,都市ガス使用,実測値
202403,LOC002,ENG003,SC001,7400,20.1,21.8,19.1,実測,重油A使用,実測値
202403,LOC002,ENG006,SC001,0.095,2.2,2.5,2.1,実測,SF6ガス使用,実測値
202403,LOC002,NULL,SC003,NULL,410.8,450.0,400.0,推定,購入製品・サービス,調達金額×排出原単位
202403,LOC002,NULL,SC004,NULL,88.5,90.0,80.0,推定,資本財,固定資産取得額×排出原単位
202403,LOC002,NULL,SC005,NULL,57.2,65.0,55.0,推定,輸送・配送(上流),物流費×排出原単位
202403,LOC002,NULL,SC006,NULL,31.0,35.0,30.0,推定,廃棄物,廃棄物量×処理別排出原単位
202403,LOC002,NULL,SC007,NULL,11.5,15.0,10.0,推定,出張,交通費×排出原単位
202403,LOC002,NULL,SC008,NULL,35.8,38.0,33.0,推定,通勤,従業員数×通勤距離×排出原単位
202403,LOC003,ENG001,SC002,122000,55.3,62.1,54.0,実測,電力使用,実測値
202403,LOC003,ENG002,SC001,8000,17.8,19.8,17.1,実測,都市ガス使用,実測値
202403,LOC003,NULL,SC003,NULL,278.9,305.0,270.0,推定,購入製品・サービス,調達金額×排出原単位
202403,LOC003,NULL,SC005,NULL,41.2,45.0,38.0,推定,輸送・配送(上流),物流費×排出原単位
202403,LOC004,ENG001,SC002,24200,11.0,12.5,10.8,実測,電力使用,実測値
202403,LOC005,ENG001,SC002,8300,3.8,4.2,3.5,実測,電力使用,実測値
202404,LOC001,ENG001,SC002,41500,18.8,22.1,19.5,実測,電力使用,実測値
202404,LOC002,ENG001,SC002,155000,70.2,79.8,71.2,実測,電力使用,実測値
202404,LOC002,ENG002,SC001,10200,22.7,26.2,23.0,実測,都市ガス使用,実測値
202404,LOC002,ENG003,SC001,6900,18.7,21.8,19.1,実測,重油A使用,実測値
202404,LOC002,ENG006,SC001,0.08,1.8,2.5,2.1,実測,SF6ガス使用,実測値
202404,LOC002,NULL,SC003,NULL,385.2,450.0,400.0,推定,購入製品・サービス,調達金額×排出原単位
202404,LOC002,NULL,SC004,NULL,78.5,90.0,80.0,推定,資本財,固定資産取得額×排出原単位
202404,LOC002,NULL,SC005,NULL,52.8,65.0,55.0,推定,輸送・配送(上流),物流費×排出原単位
202404,LOC002,NULL,SC006,NULL,28.5,35.0,30.0,推定,廃棄物,廃棄物量×処理別排出原単位
202404,LOC002,NULL,SC007,NULL,15.8,15.0,10.0,推定,出張,交通費×排出原単位
202404,LOC002,NULL,SC008,NULL,35.8,38.0,33.0,推定,通勤,従業員数×通勤距離×排出原単位
202404,LOC003,ENG001,SC002,118000,53.5,62.1,54.0,実測,電力使用,実測値
202404,LOC003,ENG002,SC001,7500,16.7,19.8,17.1,実測,都市ガス使用,実測値
202404,LOC003,NULL,SC003,NULL,258.9,305.0,270.0,推定,購入製品・サービス,調達金額×排出原単位
202404,LOC003,NULL,SC005,NULL,36.8,45.0,38.0,推定,輸送・配送(上流),物流費×排出原単位
202404,LOC004,ENG001,SC002,22800,10.3,12.5,10.8,実測,電力使用,実測値
202404,LOC005,ENG001,SC002,7600,3.4,4.2,3.5,実測,電力使用,実測値
202405,LOC001,ENG001,SC002,39800,18.0,22.1,19.5,実測,電力使用,実測値
202405,LOC002,ENG001,SC002,148000,67.0,79.8,71.2,実測,電力使用,実測値
202405,LOC002,ENG002,SC001,9600,21.4,26.2,23.0,実測,都市ガス使用,実測値
202405,LOC002,ENG003,SC001,6200,16.8,21.8,19.1,実測,重油A使用,実測値
202405,LOC002,ENG006,SC001,0.07,1.6,2.5,2.1,実測,SF6ガス使用,実測値
202405,LOC002,NULL,SC003,NULL,368.5,450.0,400.0,推定,購入製品・サービス,調達金額×排出原単位
202405,LOC002,NULL,SC004,NULL,72.1,90.0,80.0,推定,資本財,固定資産取得額×排出原単位
