script_id,branch_type,condition_text,target_script_id,option_label,option_icon,sort_order
CARD_001,MULTIPLE_CHOICE,カード種別,INQUIRY_001,キャッシュカード,🏧,3
CARD_001,MULTIPLE_CHOICE,カード種別,CARD_002,紛失・盗難,🚨,4
CARD_002,URGENCY,発見時期,CARD_002,今日気づいた,⚡,1
CARD_002,URGENCY,発見時期,CARD_002,昨日以前,📅,2
CARD_002,URGENCY,発見時期,FRAUD_001,不正利用あり,🚨,3
CARD_003,CARD_GRADE,カードグレード,CARD_003,ベーシック,🥉,1
CARD_003,CARD_GRADE,カードグレード,CARD_003,ゴールド,🥇,2
CARD_003,CARD_GRADE,カードグレード,ESC_002,プラチナ,💎,3
CARD_004,YES_NO,再発行希望,CARD_004,再発行する,✓,1
CARD_004,YES_NO,再発行希望,CL_001,解約する,❌,2
TRANSACTION_001,MULTIPLE_CHOICE,取引方法,TRANSACTION_002,ATM,🏧,1
TRANSACTION_001,MULTIPLE_CHOICE,取引方法,TRANSACTION_002,窓口,🏦,2
TRANSACTION_001,MULTIPLE_CHOICE,取引方法,DIGITAL_002,ネットバンキング,💻,3
TRANSACTION_001,MULTIPLE_CHOICE,取引方法,TRANSACTION_003,海外送金,🌏,4
TRANSACTION_002,AMOUNT_RANGE,振込金額,TRANSACTION_002,10万円未満,💵,1
TRANSACTION_002,AMOUNT_RANGE,振込金額,TRANSACTION_002,10万円以上,💰,2
TRANSACTION_002,AMOUNT_RANGE,振込金額,COMPLIANCE_001,100万円以上,⚖️,3
TRANSACTION_003,MULTIPLE_CHOICE,送金先地域,TRANSACTION_003,アジア,🌏,1
TRANSACTION_003,MULTIPLE_CHOICE,送金先地域,TRANSACTION_003,北米,🌎,2
TRANSACTION_003,MULTIPLE_CHOICE,送金先地域,TRANSACTION_003,ヨーロッパ,🌍,3
TRANSACTION_003,MULTIPLE_CHOICE,送金先地域,ESC_002,その他,❓,4
INQUIRY_001,MULTIPLE_CHOICE,照会種別,INQUIRY_001,残高照会,💰,1
INQUIRY_001,MULTIPLE_CHOICE,照会種別,INQUIRY_002,取引履歴,📜,2
INQUIRY_001,MULTIPLE_CHOICE,照会種別,FAQ_001,金利照会,💹,3
INQUIRY_001,MULTIPLE_CHOICE,照会種別,FAQ_002,手数料照会,💰,4
CHANGE_001,MULTIPLE_CHOICE,変更内容,CHANGE_002,住所変更,🏠,1
CHANGE_001,MULTIPLE_CHOICE,変更内容,CHANGE_003,電話番号変更,📱,2
CHANGE_001,MULTIPLE_CHOICE,変更内容,CHANGE_004,暗証番号変更,🔢,3
CHANGE_001,MULTIPLE_CHOICE,変更内容,CHANGE_001,名義変更,👤,4
CHANGE_002,PROCEDURE_METHOD,手続き方法,PROCEDURE_001,窓口,🏦,1
CHANGE_002,PROCEDURE_METHOD,手続き方法,DIGITAL_002,ネット,💻,2
CHANGE_002,PROCEDURE_METHOD,手続き方法,PROCEDURE_002,郵送,📮,3
CHANGE_003,PROCEDURE_METHOD,手続き方法,PROCEDURE_001,窓口のみ,🏦,1
CHANGE_004,SECURITY_LEVEL,変更理由,CHANGE_004,定期変更,🔄,1
CHANGE_004,SECURITY_LEVEL,変更理由,CHANGE_004,忘れた,❓,2
CHANGE_004,SECURITY_LEVEL,変更理由,FRAUD_002,盗用疑い,🚨,3
INSURANCE_001,AGE_GROUP,年齢層,INSURANCE_002,20-30代,👨,1
INSURANCE_001,AGE_GROUP,年齢層,INSURANCE_002,40-50代,👨‍💼,2
INSURANCE_001,AGE_GROUP,年齢層,SENIOR_001,60歳以上,👴,3
INSURANCE_002,INSURANCE_TYPE,保険種別,INSURANCE_003,生命保険,❤️,1
INSURANCE_002,INSURANCE_TYPE,保険種別,INSURANCE_004,医療保険,🏥,2
INSURANCE_002,INSURANCE_TYPE,保険種別,INSURANCE_005,がん保険,🎗️,3
SYSTEM_001,SYSTEM_STATUS,障害状況,SYSTEM_001,部分障害,⚠️,1
SYSTEM_001,SYSTEM_STATUS,障害状況,SYSTEM_001,全面障害,🚨,2
SYSTEM_001,SYSTEM_STATUS,障害状況,SYSTEM_002,メンテナンス,🔧,3
FRAUD_001,FRAUD_TYPE,不正利用種別,FRAUD_002,カード不正,💳,1
FRAUD_001,FRAUD_TYPE,不正利用種別,FRAUD_002,口座不正,🏦,2
FRAUD_001,FRAUD_TYPE,不正利用種別,EMERGENCY_001,なりすまし,👤,3
FRAUD_002,DAMAGE_AMOUNT,被害金額,FRAUD_002,10万円未満,💵,1
FRAUD_002,DAMAGE_AMOUNT,被害金額,FRAUD_002,10万円以上,💰,2
FRAUD_002,DAMAGE_AMOUNT,被害金額,ESC_001,100万円以上,💎,3
COMPLIANCE_001,TRANSACTION_PURPOSE,取引目的,COMPLIANCE_001,生活費,🏠,1
COMPLIANCE_001,TRANSACTION_PURPOSE,取引目的,COMPLIANCE_001,事業資金,🏢,2
COMPLIANCE_001,TRANSACTION_PURPOSE,取引目的,COMPLIANCE_002,投資資金,📈,3
COMPLIANCE_001,TRANSACTION_PURPOSE,取引目的,ESC_001,その他,❓,4
SENIOR_001,SUPPORT_LEVEL,サポートレベル,SENIOR_001,通常対応,👴,1
SENIOR_001,SUPPORT_LEVEL,サポートレベル,SENIOR_001,丁寧対応,🤝,2
SENIOR_001,SUPPORT_LEVEL,サポートレベル,ESC_002,家族立会,👨‍👩‍👧‍👦,3
FOREIGN_001,LANGUAGE,対応言語,FOREIGN_001,日本語,🇯🇵,1
FOREIGN_001,LANGUAGE,対応言語,FOREIGN_001,英語,🇺🇸,2
FOREIGN_001,LANGUAGE,対応言語,ESC_002,その他言語,🌏,3
BUSINESS_001,BUSINESS_SIZE,企業規模,BUSINESS_002,小規模,🏪,1
BUSINESS_001,BUSINESS_SIZE,企業規模,BUSINESS_002,中規模,🏢,2
BUSINESS_001,BUSINESS_SIZE,企業規模,ESC_002,大企業,🏛️,3
BUSINESS_002,BUSINESS_TYPE,法人種別,BUSINESS_002,株式会社,🏢,1
BUSINESS_002,BUSINESS_TYPE,法人種別,BUSINESS_002,有限会社,🏪,2
BUSINESS_002,BUSINESS_TYPE,法人種別,BUSINESS_002,個人事業主,👤,3
BUSINESS_002,BUSINESS_TYPE,法人種別,ESC_002,その他法人,❓,4
EMERGENCY_001,EMERGENCY_TYPE,緊急事態種別,CARD_002,カード紛失,💳,1
EMERGENCY_001,EMERGENCY_TYPE,緊急事態種別,FRAUD_001,不正利用,🚨,2
EMERGENCY_001,EMERGENCY_TYPE,緊急事態種別,SYSTEM_001,システム障害,💻,3
EMERGENCY_001,EMERGENCY_TYPE,緊急事態種別,ESC_001,その他緊急事態,⚡,4
HOLD_001,WAIT_TIME,待機時間,HOLD_001,短時間,⏱️,1
HOLD_001,WAIT_TIME,待機時間,HOLD_002,長時間,⏰,2
HOLD_001,WAIT_TIME,待機時間,CB_001,コールバック,📞,3
CB_001,CALLBACK_TIME,コールバック希望,CB_001,今日中,📞,1
CB_001,CALLBACK_TIME,コールバック希望,CB_002,明日以降,📅,2
CB_001,CALLBACK_TIME,コールバック希望,CB_001,時間指定,⏰,3
CL_001,SATISFACTION,満足度,CL_002,満足,😊,1
CL_001,SATISFACTION,満足度,CL_002,普通,😐,2
CL_001,SATISFACTION,満足度,ESC_001,不満,😞,3
CL_002,ADDITIONAL_QUESTION,追加質問,CL_003,ない,✓,1
CL_002,ADDITIONAL_QUESTION,追加質問,REQ_001,ある,❓,2
DIGITAL_001,DIGITAL_SERVICE,デジタルサービス,DIGITAL_001,スマホアプリ,📱,1
DIGITAL_001,DIGITAL_SERVICE,デジタルサービス,DIGITAL_002,ネットバンキング,💻,2
DIGITAL_001,DIGITAL_SERVICE,デジタルサービス,DIGITAL_001,ATM,🏧,3
DIGITAL_002,REGISTRATION_STATUS,登録状況,DIGITAL_002,未登録,📝,1
DIGITAL_002,REGISTRATION_STATUS,登録状況,DIGITAL_002,登録済み,✓,2
DIGITAL_002,REGISTRATION_STATUS,登録状況,ERROR_003,ログイン不可,❌,3
ERROR_001,ERROR_TYPE,エラー種別,ERROR_001,入力ミス,⌨️,1
ERROR_001,ERROR_TYPE,エラー種別,ERROR_002,本人確認,🔐,2
ERROR_001,ERROR_TYPE,エラー種別,ERROR_003,システム,💻,3
ERROR_002,IDENTITY_METHOD,本人確認方法,ID_003,暗証番号,🔢,1
ERROR_002,IDENTITY_METHOD,本人確認方法,CHANGE_002,窓口来店,🏦,2
ERROR_002,IDENTITY_METHOD,本人確認方法,ESC_001,上席確認,🔄,3
ERROR_003,SYSTEM_ACTION,システム対応,ERROR_003,再試行,🔄,1
ERROR_003,SYSTEM_ACTION,システム対応,HOLD_002,復旧待機,⏰,2
ERROR_003,SYSTEM_ACTION,システム対応,CB_002,後日対応,📅,3
SPECIAL_001,CAMPAIGN_INTEREST,キャンペーン関心,ACCOUNT_003,口座開設,📋,1
SPECIAL_001,CAMPAIGN_INTEREST,キャンペーン関心,SPECIAL_001,詳細確認,ℹ️,2
SPECIAL_001,CAMPAIGN_INTEREST,キャンペーン関心,CL_001,興味なし,❌,3
INSURANCE_003,YES_NO,生命保険申込意向,CHANGE_001,申込希望,✓,1
INSURANCE_003,YES_NO,生命保険申込意向,CL_001,検討する,🤔,2
INSURANCE_004,YES_NO,医療保険申込意向,CHANGE_001,申込希望,✓,1
INSURANCE_004,YES_NO,医療保険申込意向,CL_001,検討する,🤔,2
INSURANCE_005,YES_NO,がん保険申込意向,CHANGE_001,申込希望,✓,1
INSURANCE_005,YES_NO,がん保険申込意向,CL_001,検討する,🤔,2
ACCOUNT_004,YES_NO,普通預金開設希望,ACCOUNT_003,開設希望,✓,1
ACCOUNT_004,YES_NO,普通預金開設希望,CL_001,詳細のみ,ℹ️,2
ACCOUNT_005,YES_NO,定期預金申込希望,CHANGE_001,申込希望,✓,1
ACCOUNT_005,YES_NO,定期預金申込希望,CL_001,検討する,🤔,2
LOAN_006,YES_NO,住宅ローン申込意向,CHANGE_001,申込希望,✓,1
LOAN_006,YES_NO,住宅ローン申込意向,CB_001,後日検討,📞,2
LOAN_007,YES_NO,カードローン申込意向,CHANGE_001,申込希望,✓,1
LOAN_007,YES_NO,カードローン申込意向,CL_001,検討する,🤔,2
PROCEDURE_001,YES_NO,窓口来店予定,CL_001,来店予定あり,✓,1
PROCEDURE_001,YES_NO,窓口来店予定,CB_001,後日検討,📞,2
PROCEDURE_002,YES_NO,郵送手続き希望,CL_001,郵送希望,✓,1
PROCEDURE_002,YES_NO,郵送手続き希望,PROCEDURE_001,窓口希望,🏦,2
